date,flight_number,departure,destination,travel_class,service,component,dish_type,region,passengers,amount_loaded,amount_predicted_demand,amount_used,amount_missed_order,recommended_ratio,ratio,load_factor,price_per_dish,co2_per_item,items_saved,potential_cost_savings,potential_co2_savings,customer_satisfaction,departure_time,arrival_time,flight_duration,route,departure_latitude,departure_longitude,destination_latitude,destination_longitude,departure_tavg,departure_tmin,departure_tmax,departure_prcp,departure_snow,departure_wdir,departure_wspd,departure_wpgt,departure_pres,departure_tsun,destination_tavg,destination_tmin,destination_tmax,destination_prcp,destination_snow,destination_wdir,destination_wspd,destination_wpgt,destination_pres,destination_tsun
2024-01-16,4Y001,FRA,JFK,Business,First,Starter,Meat,North America,48,28,22,23,0,"0,46","0,6","1,2",5,"2,5",0,0,0,91,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,First,Starter,Veg,North America,48,28,26,26,0,"0,54","0,6","1,2","4,5","1,2",2,9,"2,4",76,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,First,Main,Meat,North America,48,19,20,19,3,"0,42","0,4","1,2",5,"2,5",0,0,0,80,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,First,Main,Veg,North America,48,19,12,13,0,"0,25","0,4","1,2","4,5","1,2",0,0,0,94,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,First,Main,Fish,North America,48,19,13,14,0,"0,27","0,4","1,2",6,3,0,0,0,88,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,First,Dessert,Cheese,North America,48,28,27,28,1,"0,56","0,6","1,2","3,5","1,8",0,0,0,69,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,First,Dessert,Sweet,North America,48,28,21,21,0,"0,44","0,6","1,2","2,5","0,8",7,"17,5","5,6",77,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,Second,Breakfast,,North America,48,48,37,35,0,"0,77",1,1,0,0,11,0,0,96,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,Second,Dinner,Meat,North America,48,28,29,28,1,"0,6","0,6","1,2",5,"2,5",0,0,0,88,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
2024-01-16,4Y001,FRA,JFK,Business,Second,Dinner,Veg,North America,48,28,18,19,0,"0,38","0,6","1,2","4,5","1,2",0,0,0,88,04:29,07:29,08:00,intercont,50.02441255,8.555200257325986,40.642947899999996,-73.7793733748521,-1.3,-6.1,3.1,0.0,0.0,208.0,13.7,36.0,1011.5,192.0,-2.1,-5.5,0.0,9.1,50.0,354.0,23.0,,1011.6,
